月份,开户行所在省,账户数量
202001,安徽,3331
202001,湖北,4658
202001,海南,1520
202001,江苏,8284
202001,内蒙古,838
202001,浙江,7605
202001,云南,4117
202001,新疆,1788
202001,青海,145
202001,四川,4882
202001,陕西,2268
202001,广东,27829
202001,福建,8544
202001,湖南,4861
202001,天津,1200
202001,山东,3680
202001,青岛,937
202001,西藏,29
202001,河南,5238
202001,山西,1671
202001,重庆,1995
202001,黑龙江,1668
202001,吉林,1130
202001,宁夏,254
202001,辽宁,2539
202001,江西,3750
202001,甘肃,530
202001,广西,3044
202001,上海,3275
202001,贵州,1135
202001,北京,4049
202001,河北,3907
